cycle_id,sampled_at,average_weight,ABWt-ABW0,ht-h0,ADG
3458.0,2020-04-10,4.37,4.37,34.0,0.1285294117647059
3458.0,2020-04-17,5.23,0.8600000000000003,7.0,0.1228571428571429
3458.0,2020-04-24,6.69,1.46,7.0,0.20857142857142857
3458.0,2020-05-01,8.21,1.5200000000000005,7.0,0.21714285714285722
3458.0,2020-05-08,9.68,1.4699999999999989,7.0,0.20999999999999983
3458.0,2020-05-15,11.59,1.9100000000000001,7.0,0.27285714285714285
3458.0,2020-05-22,13.82,2.2300000000000004,7.0,0.3185714285714286
3458.0,2020-05-29,15.62,1.799999999999999,7.0,0.257142857142857
3458.0,2020-06-05,18.15,2.5299999999999994,7.0,0.3614285714285713
3458.0,2020-06-12,20.49,2.34,7.0,0.33428571428571424
3458.0,2020-06-19,24.05,3.5600000000000023,7.0,0.5085714285714289
3458.0,2020-06-26,25.18,1.129999999999999,7.0,0.16142857142857128
3459.0,2020-04-10,4.18,4.18,34.0,0.12294117647058822
3459.0,2020-04-17,4.95,0.7700000000000005,7.0,0.11000000000000007
3459.0,2020-04-24,6.23,1.2800000000000002,7.0,0.18285714285714288
3459.0,2020-05-01,7.94,1.71,7.0,0.24428571428571427
3459.0,2020-05-08,9.56,1.62,7.0,0.23142857142857146
3459.0,2020-05-15,11.46,1.9000000000000004,7.0,0.27142857142857146
3459.0,2020-05-22,13.62,2.1599999999999984,7.0,0.30857142857142833
3459.0,2020-05-29,15.27,1.6500000000000004,7.0,0.23571428571428577
3459.0,2020-06-05,17.88,2.6099999999999994,7.0,0.3728571428571428
3459.0,2020-06-12,20.48,2.6000000000000014,7.0,0.3714285714285716
3459.0,2020-06-19,22.88,2.3999999999999986,7.0,0.34285714285714264
3459.0,2020-06-26,25.15,2.2699999999999996,7.0,0.32428571428571423
3459.0,2020-07-03,26.59,1.4400000000000013,7.0,0.2057142857142859
4038.0,2020-05-30,5.0,5.0,48.0,0.10416666666666667
4038.0,2020-05-31,5.25,0.25,1.0,0.25
4038.0,2020-06-01,5.5,0.25,1.0,0.25
4038.0,2020-06-02,5.75,0.25,1.0,0.25
4038.0,2020-06-03,6.0,0.25,1.0,0.25
4038.0,2020-06-04,6.25,0.25,1.0,0.25
4038.0,2020-06-05,6.5,0.25,1.0,0.25
4038.0,2020-06-06,6.75,0.25,1.0,0.25
4038.0,2020-06-07,7.0,0.25,1.0,0.25
4038.0,2020-06-08,7.25,0.25,1.0,0.25
4038.0,2020-06-09,7.75,0.5,1.0,0.5
4038.0,2020-06-10,8.25,0.5,1.0,0.5
4038.0,2020-06-11,8.75,0.5,1.0,0.5
4038.0,2020-06-12,9.0,0.25,1.0,0.25
4038.0,2020-06-13,9.25,0.25,1.0,0.25
4038.0,2020-06-14,9.5,0.25,1.0,0.25
4038.0,2020-06-15,9.75,0.25,1.0,0.25
4038.0,2020-06-16,10.0,0.25,1.0,0.25
4038.0,2020-06-17,10.25,0.25,1.0,0.25
4038.0,2020-06-18,10.5,0.25,1.0,0.25
4038.0,2020-06-19,10.75,0.25,1.0,0.25
4038.0,2020-06-20,11.0,0.25,1.0,0.25
4038.0,2020-06-21,11.25,0.25,1.0,0.25
4038.0,2020-06-22,11.5,0.25,1.0,0.25
4038.0,2020-06-23,11.75,0.25,1.0,0.25
4038.0,2020-06-24,12.0,0.25,1.0,0.25
4038.0,2020-06-25,12.25,0.25,1.0,0.25
4038.0,2020-06-26,12.5,0.25,1.0,0.25
4038.0,2020-06-27,12.75,0.25,1.0,0.25
4038.0,2020-06-28,13.0,0.25,1.0,0.25
4038.0,2020-06-29,13.25,0.25,1.0,0.25
4038.0,2020-06-30,13.5,0.25,1.0,0.25
4038.0,2020-07-01,13.75,0.25,1.0,0.25
4038.0,2020-07-02,14.0,0.25,1.0,0.25
4038.0,2020-07-03,14.25,0.25,1.0,0.25
4038.0,2020-07-04,14.5,0.25,1.0,0.25
4038.0,2020-07-05,14.75,0.25,1.0,0.25
4038.0,2020-07-06,15.0,0.25,1.0,0.25
4038.0,2020-07-07,15.75,0.75,1.0,0.75
4038.0,2020-07-08,16.0,0.25,1.0,0.25
4038.0,2020-07-09,16.25,0.25,1.0,0.25
4039.0,2020-05-30,4.9,4.9,48.0,0.10208333333333335
4039.0,2020-05-31,5.4,0.5,1.0,0.5
4039.0,2020-06-01,5.9,0.5,1.0,0.5
4039.0,2020-06-02,6.4,0.5,1.0,0.5
4039.0,2020-06-03,5.9,0.0,1.0,0.0
4039.0,2020-06-04,6.4,0.5,1.0,0.5
4039.0,2020-06-05,6.9,0.5,1.0,0.5
4039.0,2020-06-06,7.4,0.5,1.0,0.5
4039.0,2020-06-07,7.9,0.5,1.0,0.5
4039.0,2020-06-08,8.4,0.5,1.0,0.5
4039.0,2020-06-09,8.9,0.5,1.0,0.5
4039.0,2020-06-10,9.4,0.5,1.0,0.5
4039.0,2020-06-11,9.9,0.5,1.0,0.5
4039.0,2020-06-13,10.2,0.29999999999999893,2.0,0.14999999999999947
4039.0,2020-06-14,10.35,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-15,10.5,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-16,10.65,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-17,10.8,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-18,10.95,0.14999999999999858,1.0,0.14999999999999858
4039.0,2020-06-19,11.1,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-20,11.25,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-21,11.4,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-22,11.55,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-23,11.7,0.14999999999999858,1.0,0.14999999999999858
4039.0,2020-06-24,11.85,0.15000000000000036,1.0,0.15000000000000036
4039.0,2020-06-25,12.2,0.34999999999999964,1.0,0.34999999999999964
4039.0,2020-06-26,12.45,0.25,1.0,0.25
4039.0,2020-06-27,12.7,0.25,1.0,0.25
4039.0,2020-06-28,12.95,0.25,1.0,0.25
4039.0,2020-06-29,13.2,0.25,1.0,0.25
4039.0,2020-06-30,13.45,0.25,1.0,0.25
4039.0,2020-07-01,13.7,0.25,1.0,0.25
4039.0,2020-07-02,13.95,0.25,1.0,0.25
4039.0,2020-07-03,14.2,0.25,1.0,0.25
4039.0,2020-07-04,14.45,0.25,1.0,0.25
4039.0,2020-07-05,14.7,0.25,1.0,0.25
4039.0,2020-07-06,14.95,0.25,1.0,0.25
4039.0,2020-07-07,15.2,0.25,1.0,0.25
4039.0,2020-07-08,15.45,0.25,1.0,0.25
4039.0,2020-07-09,15.7,0.25,1.0,0.25
4044.0,2020-05-08,2.5,2.5,23.0,0.10869565217391304
4044.0,2020-05-15,2.77,0.27,7.0,0.038571428571428576
4044.0,2020-05-22,3.56,0.79,7.0,0.11285714285714286
4044.0,2020-05-29,4.92,1.3599999999999999,7.0,0.19428571428571426
4044.0,2020-06-05,7.37,2.45,7.0,0.35000000000000003
4044.0,2020-06-12,9.27,1.8999999999999995,7.0,0.27142857142857135
4044.0,2020-06-19,10.41,1.1400000000000006,7.0,0.16285714285714295
4044.0,2020-06-26,12.34,1.9299999999999997,7.0,0.2757142857142857
4044.0,2020-07-03,14.22,1.8800000000000008,7.0,0.2685714285714287
4044.0,2020-07-10,16.82,2.5999999999999996,7.0,0.3714285714285714
4044.0,2020-07-17,19.21,2.3900000000000006,7.0,0.3414285714285715
4044.0,2020-07-24,20.35,1.1400000000000006,7.0,0.16285714285714295
4044.0,2020-07-30,23.43,3.0799999999999983,6.0,0.5133333333333331
4044.0,2020-08-04,24.76,1.3300000000000018,5.0,0.26600000000000035
4045.0,2020-05-08,2.0,2.0,23.0,0.08695652173913043
4045.0,2020-05-15,2.35,0.3500000000000001,7.0,0.05000000000000001
4045.0,2020-05-22,3.5,1.15,7.0,0.16428571428571428
4045.0,2020-05-29,5.58,2.08,7.0,0.29714285714285715
4045.0,2020-06-05,6.73,1.1500000000000004,7.0,0.16428571428571434
4045.0,2020-06-12,8.4,1.67,7.0,0.23857142857142857
4045.0,2020-06-19,10.24,1.8399999999999999,7.0,0.26285714285714284
4045.0,2020-06-26,12.34,2.0999999999999996,7.0,0.29999999999999993
4045.0,2020-07-03,13.93,1.5899999999999999,7.0,0.22714285714285712
4045.0,2020-07-10,16.0,2.0700000000000003,7.0,0.29571428571428576
4045.0,2020-07-17,18.66,2.66,7.0,0.38
4045.0,2020-07-24,19.39,0.7300000000000004,7.0,0.10428571428571434
4045.0,2020-07-30,22.27,2.879999999999999,6.0,0.4799999999999998
4045.0,2020-08-04,24.53,2.2600000000000016,5.0,0.4520000000000003
4046.0,2020-05-08,2.0,2.0,23.0,0.08695652173913043
4046.0,2020-05-15,2.57,0.5699999999999998,7.0,0.0814285714285714
4046.0,2020-05-22,3.41,0.8400000000000003,7.0,0.12000000000000004
4046.0,2020-05-29,4.96,1.5499999999999998,7.0,0.2214285714285714
4046.0,2020-06-05,7.14,2.1799999999999997,7.0,0.3114285714285714
4046.0,2020-06-12,8.53,1.3899999999999997,7.0,0.19857142857142854
4046.0,2020-06-19,11.49,2.960000000000001,7.0,0.422857142857143
4046.0,2020-06-26,13.61,2.119999999999999,7.0,0.30285714285714277
4046.0,2020-07-03,14.17,0.5600000000000005,7.0,0.08000000000000007
4046.0,2020-07-10,16.33,2.1599999999999984,7.0,0.30857142857142833
4046.0,2020-07-17,18.21,1.8800000000000026,7.0,0.26857142857142896
4046.0,2020-07-24,20.86,2.6499999999999986,7.0,0.3785714285714284
4046.0,2020-07-30,22.47,1.6099999999999994,6.0,0.26833333333333326
4046.0,2020-08-04,23.9,1.4299999999999997,5.0,0.2859999999999999
4047.0,2020-05-08,2.5,2.5,23.0,0.10869565217391304
4047.0,2020-05-15,2.54,0.040000000000000036,7.0,0.0057142857142857195
4047.0,2020-05-22,3.35,0.81,7.0,0.11571428571428573
4047.0,2020-05-29,5.23,1.8800000000000003,7.0,0.2685714285714286
4047.0,2020-06-05,7.04,1.8099999999999996,7.0,0.2585714285714285
4047.0,2020-06-12,9.95,2.9099999999999993,7.0,0.4157142857142856
4047.0,2020-06-19,11.01,1.0600000000000005,7.0,0.1514285714285715
4047.0,2020-06-26,13.48,2.4700000000000006,7.0,0.3528571428571429
4047.0,2020-07-03,14.37,0.8899999999999988,7.0,0.12714285714285697
4047.0,2020-07-10,16.27,1.9000000000000004,7.0,0.27142857142857146
4047.0,2020-07-17,18.42,2.150000000000002,7.0,0.30714285714285744
4047.0,2020-07-24,19.97,1.5499999999999972,7.0,0.22142857142857103
4047.0,2020-07-30,21.54,1.5700000000000003,6.0,0.2616666666666667
4048.0,2020-05-08,2.0,2.0,23.0,0.08695652173913043
4048.0,2020-05-15,2.33,0.33000000000000007,7.0,0.04714285714285715
4048.0,2020-05-22,3.56,1.23,7.0,0.1757142857142857
4048.0,2020-05-29,5.75,2.19,7.0,0.31285714285714283
4048.0,2020-06-05,7.18,1.4299999999999997,7.0,0.20428571428571424
4048.0,2020-06-12,9.07,1.8900000000000006,7.0,0.2700000000000001
4048.0,2020-06-19,10.3,1.2300000000000004,7.0,0.17571428571428577
4048.0,2020-06-26,12.5,2.1999999999999993,7.0,0.31428571428571417
4048.0,2020-07-03,14.64,2.1400000000000006,7.0,0.30571428571428577
4048.0,2020-07-10,15.81,1.17,7.0,0.16714285714285712
4048.0,2020-07-17,18.88,3.0699999999999985,7.0,0.43857142857142833
4048.0,2020-07-24,19.61,0.7300000000000004,7.0,0.10428571428571434
4048.0,2020-07-30,21.01,1.4000000000000021,6.0,0.2333333333333337
4048.0,2020-08-04,21.47,0.4599999999999973,5.0,0.09199999999999946
4181.0,2020-06-08,4.2,4.2,37.0,0.11351351351351352
4181.0,2020-06-18,6.8,2.5999999999999996,10.0,0.25999999999999995
4233.0,2020-06-21,4.1,4.1,53.0,0.07735849056603773
4233.0,2020-06-27,5.0,0.9000000000000004,6.0,0.15000000000000005
4238.0,2020-05-29,5.03,5.03,34.0,0.14794117647058824
4238.0,2020-06-05,7.27,2.2399999999999993,7.0,0.3199999999999999
4238.0,2020-06-12,9.98,2.710000000000001,7.0,0.3871428571428573
4238.0,2020-06-19,11.57,1.5899999999999999,7.0,0.22714285714285712
4238.0,2020-06-26,14.58,3.01,7.0,0.43
4238.0,2020-07-03,18.29,3.709999999999999,7.0,0.5299999999999999
4238.0,2020-07-10,22.4,4.109999999999999,7.0,0.5871428571428571
