iter	Passed	Remaining
0	1	1628
1	3	1668
2	4	1542
3	6	1581
4	7	1525
5	9	1552
6	10	1517
7	12	1527
8	13	1504
9	15	1516
10	16	1499
11	18	1520
12	19	1503
13	21	1496
14	22	1495
15	24	1498
16	25	1502
17	27	1501
18	29	1501
19	30	1493
20	32	1492
21	33	1483
22	34	1485
23	36	1478
24	38	1482
25	39	1478
26	41	1479
27	42	1472
28	44	1480
29	45	1473
30	47	1477
31	48	1471
32	50	1472
33	51	1466
34	53	1464
35	54	1464
36	56	1461
37	57	1459
38	59	1454
39	60	1453
40	61	1447
41	63	1449
42	64	1444
43	66	1445
44	67	1439
45	69	1442
46	71	1439
47	72	1441
48	74	1439
49	75	1441
50	77	1437
51	78	1437
52	80	1435
53	82	1437
54	83	1433
55	85	1433
56	86	1429
57	87	1425
58	89	1423
59	90	1418
60	92	1417
61	93	1414
62	95	1413
63	96	1409
64	98	1411
65	99	1409
66	101	1411
67	102	1408
68	104	1408
69	105	1406
70	107	1407
71	108	1404
72	110	1403
73	112	1402
74	113	1403
75	115	1401
76	116	1400
77	118	1396
78	119	1394
79	121	1392
80	122	1389
81	124	1389
82	125	1386
83	127	1385
84	128	1383
85	130	1386
86	132	1386
87	133	1387
88	135	1385
89	137	1385
90	138	1383
91	140	1382
92	141	1379
93	143	1379
94	144	1376
95	146	1377
96	147	1373
97	149	1372
98	150	1370
99	152	1371
100	153	1369
101	155	1368
102	156	1366
103	158	1365
104	159	1362
105	161	1363
106	162	1359
107	164	1359
108	165	1356
109	167	1354
110	168	1352
111	170	1349
112	171	1348
113	173	1345
114	174	1344
115	176	1343
116	177	1342
117	179	1339
118	180	1339
119	182	1337
120	183	1336
121	185	1333
122	187	1333
123	188	1331
124	190	1331
125	191	1328
126	193	1328
127	194	1325
128	196	1323
129	197	1321
130	198	1318
131	200	1318
132	201	1316
133	203	1314
134	204	1312
135	206	1312
136	207	1309
137	209	1309
138	211	1307
139	212	1306
140	214	1304
141	215	1303
142	217	1301
143	218	1300
144	220	1297
145	221	1296
146	223	1294
147	224	1292
148	225	1290
149	227	1288
150	228	1287
151	230	1285
152	231	1284
153	233	1281
154	234	1281
155	236	1279
156	238	1278
157	239	1276
158	241	1276
159	242	1273
160	244	1272
161	245	1271
162	247	1273
163	249	1270
164	251	1270
165	252	1269
166	254	1269
167	255	1267
168	257	1267
169	259	1265
170	260	1264
171	262	1261
172	263	1260
173	265	1258
174	266	1258
175	268	1255
176	269	1254
177	271	1253
178	272	1251
179	274	1249
180	276	1248
181	277	1246
182	278	1244
183	280	1242
184	281	1240
185	283	1239
186	284	1237
187	286	1237
188	287	1235
189	289	1234
190	290	1232
191	292	1231
192	294	1229
193	295	1228
194	296	1226
195	298	1225
196	300	1223
197	301	1222
198	303	1220
199	304	1219
200	306	1217
201	307	1216
202	309	1214
203	310	1212
204	312	1211
205	313	1209
206	315	1207
207	316	1205
208	318	1204
209	319	1202
210	321	1200
211	322	1198
212	324	1198
213	325	1195
214	327	1194
215	328	1192
216	330	1192
217	331	1190
218	333	1189
219	334	1187
220	336	1186
221	337	1184
222	339	1182
223	340	1180
224	342	1178
225	343	1177
226	345	1175
227	346	1174
228	348	1172
229	349	1171
230	351	1169
231	352	1167
232	354	1165
233	355	1164
234	357	1163
235	359	1162
236	360	1160
237	362	1160
238	363	1158
239	365	1157
240	366	1155
241	368	1154
242	369	1152
243	371	1150
244	372	1149
245	374	1147
246	375	1145
247	377	1144
248	379	1143
249	381	1143
250	382	1142
251	385	1142
252	386	1141
253	388	1140
254	389	1138
255	391	1136
256	392	1135
257	394	1134
258	395	1132
259	397	1131
260	399	1129
261	400	1128
262	402	1126
263	403	1125
264	405	1123
265	406	1122
266	408	1121
267	410	1119
268	411	1117
269	413	1116
270	414	1114
271	416	1113
272	417	1112
273	419	1111
274	420	1109
275	422	1108
276	423	1106
277	425	1104
278	426	1102
279	428	1100
280	429	1099
281	431	1097
282	432	1096
283	433	1094
284	435	1092
285	436	1090
